FBpp_ID	Species	muscle_dietM	whole_body_dietM	muscle_dietP	whole_body_dietP
FBpp0291548	Dmel	0	0.475940562665454	0	0.524059437334547
FBpp0289382	Dmel	0.00813111207495093	0.478015512538272	0.0388513863229486	0.475001989063829
FBpp0312442	Dmel	0	0.528796805084311	0	0.471203194915689
FBpp0077828	Dmel	0.25313811209683	0.258478323839128	0.236901380102632	0.25148218396141
FBpp0111921	Dmel	0.0578422170723114	0.443302719250426	0.0287531013098306	0.470101962367432
FBpp0077822	Dmel	0.272924904435278	0.265323381054586	0.24013384400652	0.221617870503616
FBpp0077759	Dmel	0.237231246642261	0.267943807373155	0.22167778337086	0.273147162613723
FBpp0077760	Dmel	0.253191785537969	0.253446695243387	0.240438677588116	0.252922841630528
FBpp0297499	Dmel	0.209788770821507	0.345692316477251	0.133939709819086	0.310579202882156
FBpp0288762	Dmel	0.237655505834144	0.276123087533314	0.243206353152184	0.243015053480357
FBpp0077762	Dmel	0.230596047126958	0.267472784026294	0.226114032331568	0.27581713651518
FBpp0077763	Dmel	0.223582488183396	0.278413783730402	0.219568404642061	0.278435323444141
FBpp0290667	Dmel	0.234420512654188	0.272938435394496	0.221659002425151	0.270982049526165
FBpp0088446	Dmel	0.232378487280735	0.280078399299288	0.220205354362321	0.267337759057657
FBpp0077776	Dmel	0.259500255851694	0.244649145237111	0.252815650652506	0.243034948258689
FBpp0077818	Dmel	0.215246150705024	0.292989925537451	0.219156123887114	0.272607799870411
FBpp0077814	Dmel	0.254331454345426	0.244987346706697	0.243553513362468	0.257127685585409
FBpp0077812	Dmel	0.247676927705435	0.251658568486151	0.244572364574237	0.256092139234177
FBpp0077774	Dmel	0.230773411172899	0.257137235089421	0.245061552287462	0.267027801450218
FBpp0311956	Dmel	0.0692187461630233	0.408808057067404	0.0513550739190618	0.470618122850511
FBpp0291405	Dmel	0.0456969103070124	0.434355919480017	0.0559449180510222	0.464002252161949
FBpp0303495	Dmel	0.0949272513952469	0.436445465936012	0.101076060406678	0.367551222262063
FBpp0077775	Dmel	0.265686045438164	0.24595672149916	0.250444833034336	0.237912400028341
FBpp0291141	Dmel	0.114168350136636	0.373477485274552	0.112793444355009	0.399560720233802
FBpp0077806	Dmel	0.212634825103315	0.296632034858302	0.197973420049189	0.292759719989193
FBpp0077778	Dmel	0.241465822776983	0.252893734272703	0.241845444458974	0.26379499849134
FBpp0090982	Dmel	0.238602262569976	0.26661369827082	0.228968699199688	0.265815339959515
FBpp0077781	Dmel	0.220538259038339	0.281110266060678	0.212451511134785	0.285899963766198
FBpp0077783	Dmel	0.241553779317532	0.265747604962434	0.228572080837492	0.264126534882542
FBpp0077805	Dmel	0.275701428138362	0.203294411637248	0.359196034560371	0.161808125664018
FBpp0077784	Dmel	0.262849094540721	0.247624575324797	0.243404711001557	0.246121619132925
FBpp0289115	Dmel	0.228947204226051	0.268629056148317	0.229409750649818	0.273013988975813
FBpp0077785	Dmel	0.00483005475316749	0.529083628318377	0.00318404527210694	0.462902271656348
FBpp0077802	Dmel	0.248846695555741	0.259389234951785	0.225734438367714	0.26602963112476
FBpp0077799	Dmel	0.251416371098682	0.257625294232655	0.237775138609371	0.253183196059292
FBpp0077801	Dmel	0.0871199709744321	0.445992110518619	0.0733615574488071	0.393526361058142
FBpp0077786	Dmel	0.00957105322796657	0.516301500745486	0.00807353219670275	0.466053913829845
FBpp0077798	Dmel	0.23285690463622	0.282302883378845	0.216896689777916	0.267943522207019
FBpp0077787	Dmel	0.259279467170657	0.246409217750553	0.248805324179693	0.245505990899098
FBpp0290028	Dmel	0.233208956092947	0.268545935534994	0.228654173240809	0.269590935131251
FBpp0077788	Dmel	0.243787880318388	0.261779776854624	0.22969120300981	0.264741139817178
FBpp0077796	Dmel	0.209985692244922	0.303280801418715	0.198571864724813	0.28816164161155
FBpp0077795	Dmel	0.212288028920174	0.298228240607598	0.200671255472516	0.288812474999711
FBpp0077793	Dmel	0.243608884820277	0.239227087310426	0.247166695142281	0.269997332727016
FBpp0077789	Dmel	0.228871286675206	0.301320312099807	0.19664896544095	0.273159435784038
FBpp0077792	Dmel	0.225269519243393	0.273183670959352	0.225427546761026	0.276119263036229
FBpp0077790	Dmel	0.241510985312935	0.255060920564426	0.239428165544841	0.263999928577798
FBpp0303632	Dmel	0.229292892305579	0.264855284124561	0.229023006438183	0.276828817131677
FBpp0089226	Dmel	0.25124524604949	0.251400220506947	0.236458252806584	0.260896280636979
FBpp0077758	Dmel	0	0.486886275492151	0.00636477275209055	0.506748951755758
FBpp0077757	Dmel	0	0.663544086022413	0	0.336455913977587
FBpp0077712	Dmel	0	0.648759671065362	0	0.351240328934638
FBpp0303539	Dmel	0.0187442786037066	0.511248752541703	0.0192405571256983	0.450766411728892
FBpp0077755	Dmel	0.0030557873442709	0.52339727109827	0.0121084591820454	0.461438482375413
FBpp0077753	Dmel	0.228193691512423	0.273795890966933	0.212761922344738	0.285248495175906
FBpp0077713	Dmel	0.235801111547615	0.255397132029372	0.243484407384609	0.265317349038404
FBpp0077752	Dmel	0.287640736144005	0.227847232865794	0.255450652463509	0.229061378526693
FBpp0077714	Dmel	0.206565527153976	0.301240837744679	0.204127449353934	0.288066185747412
FBpp0088945	Dmel	0.245612004055706	0.255209830022141	0.238604545762358	0.260573620159795
FBpp0077715	Dmel	0.243099117326976	0.263951592215008	0.2276165880009	0.265332702457117
FBpp0077750	Dmel	0.225841073181032	0.279092113563995	0.20128347985832	0.293783333396653
FBpp0077716	Dmel	0.255791462315558	0.247529954753033	0.248901343246658	0.247777239684751
FBpp0077749	Dmel	0.272450464469999	0.235886923602417	0.263646085643934	0.22801652628365
FBpp0077717	Dmel	0.13584785917568	0.351915040193007	0.127659694855675	0.384577405775638
FBpp0077718	Dmel	0.0967312690173905	0.356981640673578	0.143725478639732	0.4025616116693
FBpp0077719	Dmel	0.214989675708892	0.282844033056181	0.212019850044679	0.290146441190248
FBpp0077747	Dmel	0.234265302514435	0.269362858837716	0.222167246646776	0.274204592001073
FBpp0077720	Dmel	0.254939081954692	0.239333037510878	0.256977558363394	0.248750322171036
FBpp0077721	Dmel	0.0649960036453309	0.415229379020705	0.0878839410935608	0.431890676240403
FBpp0301737	Dmel	0.207177880955511	0.306620900604876	0.194186182566247	0.292015035873366
FBpp0077722	Dmel	0.227997178664481	0.273787363490482	0.224740115037562	0.273475342807475
FBpp0302929	Dmel	0.244363130010233	0.263818778135315	0.219947915201484	0.271870176652967
FBpp0077743	Dmel	0.249256211923844	0.231082227037425	0.274111226959483	0.245550334079248
FBpp0077741	Dmel	0.243054523521751	0.257026464511854	0.238383995547083	0.261535016419312
